# model w_normal_1 w_normal_2
3.677060994099099703e-03 3.572434964977142477e-07 3.676805945207013791e-03
3.230829353432148297e-03 3.041417564910362091e-07 3.230785148250602239e-03
2.829229908665824821e-03 2.586654969502797980e-07 2.828783524274010135e-03
2.467210763211525725e-03 2.197615400455633366e-07 2.467056122059091590e-03
2.151566558592167468e-03 1.865157932108301179e-07 2.151435952286160670e-03
1.877446115005133734e-03 1.580749052094852145e-07 1.877426252382921601e-03
1.632006195684416235e-03 1.334057879466082002e-07 1.630760039529575121e-03
1.418366936583548244e-03 1.125482063725126519e-07 1.418366142377888240e-03
1.230922389044852936e-03 9.472193700596942750e-08 1.228011862472554953e-03
1.059390212859080086e-03 7.967087278176008351e-08 1.059172764066746873e-03
9.153656810572471806e-04 6.694802468487617174e-08 9.133023427730894853e-04
7.856368841087852436e-04 5.619628068194245952e-08 7.842606868331072640e-04
6.744747494181385422e-04 4.720210571988398299e-08 6.738508649870848148e-04
5.780334955342925681e-04 3.965721208217048466e-08 5.771759598393385194e-04
