w	mu_1	sigma_1	mu_2	sigma_2	logPrior	logL
4.23915151846140703107e-01	-2.43373318500383284402e+00	1.40823284410014215595e+00	-1.99426541985668825951e+00	2.54932322655635812403e-01	0.00000000000000000000e+00	-7.30992584893615548935e+03
1.47470922465937570589e-01	-3.55666443253342423603e+00	2.54987056219429519821e-01	5.04911866800367192809e+00	7.82001614195125482887e-01	0.00000000000000000000e+00	-7.14846723399277561839e+03
1.47470922465937570589e-01	-3.55666443253342423603e+00	2.54987056219429519821e-01	5.04911866800367192809e+00	7.82001614195125482887e-01	0.00000000000000000000e+00	-7.14846723399277561839e+03
5.43474550077292728467e-01	-3.77645953892180541445e+00	8.62162535658003825745e-01	-1.90496573021636317335e+00	1.25880448105599285213e+00	0.00000000000000000000e+00	-7.14640751360622925858e+03
9.82113288664490657887e-01	-3.85568031501278785100e+00	3.43106847185864261007e-01	2.76269964273264889698e-01	1.02789220613548892835e+00	0.00000000000000000000e+00	-6.91146895075039537915e+03
6.97128082528341352919e-01	2.53029821883616057310e-02	3.48148149353326663569e-01	6.89517197263333936341e-01	7.13195210223455555720e-01	0.00000000000000000000e+00	-6.70019689384294360934e+03
7.96461184756576567878e-01	-3.08483750287292846082e+00	3.18127854902553741656e-01	4.23946743951126681083e+00	5.90342305343680595620e-01	0.00000000000000000000e+00	-6.56510918699291232770e+03
4.29416120114792451701e-02	-3.46170993705328056134e-01	1.03235973763332622433e+00	2.09269503204926099471e-01	6.37446399662878415704e-01	0.00000000000000000000e+00	-6.55632509688618301880e+03
4.29416120114792451701e-02	-3.46170993705328056134e-01	1.03235973763332622433e+00	2.09269503204926099471e-01	6.37446399662878415704e-01	0.00000000000000000000e+00	-6.55632509688618301880e+03
1.03176406840540080267e-01	-2.83049668432938972273e+00	2.40175171776491502840e+00	1.50888535879762875069e+00	2.75647398815711472397e-02	0.00000000000000000000e+00	-6.48527952843744242273e+03
3.33398828043313888436e-01	-1.45661146879680969413e+00	5.60146225842196754385e-01	3.66255012236504029488e-01	7.30473784910159462669e-01	0.00000000000000000000e+00	-6.44312055463162960223e+03
3.33398828043313888436e-01	-1.45661146879680969413e+00	5.60146225842196754385e-01	3.66255012236504029488e-01	7.30473784910159462669e-01	0.00000000000000000000e+00	-6.44312055463162960223e+03
1.66573001139045523411e-01	2.53447365605095686902e+00	6.33338301424587912791e-01	4.84089271762671025101e+00	3.48581733841455965184e-02	0.00000000000000000000e+00	-6.14890096171420645987e+03
7.96158863483132805960e-01	-2.89880687196834285757e+00	1.36179607643389610772e+00	-2.29832716734792708024e+00	1.48337467121286881166e+00	0.00000000000000000000e+00	-6.05040560624902354903e+03
1.66573001139045523411e-01	2.53447365605095686902e+00	6.33338301424587912791e-01	4.84089271762671025101e+00	3.48581733841455965184e-02	0.00000000000000000000e+00	-6.14890096171420645987e+03
2.31470248845605630628e-01	-1.59770282763780113733e+00	3.69827033960385520572e-01	1.61841273737323487758e+00	4.90938943152091245015e-01	0.00000000000000000000e+00	-5.73871457628510688664e+03
5.92053951842974712783e-01	-2.97099926881381826149e+00	3.09674130094710564620e-01	1.20198678807721326400e+00	6.31950117317368276204e-01	0.00000000000000000000e+00	-5.27954523016623898002e+03
2.31470248845605630628e-01	-1.59770282763780113733e+00	3.69827033960385520572e-01	1.61841273737323487758e+00	4.90938943152091245015e-01	0.00000000000000000000e+00	-5.73871457628510688664e+03
2.89390084754710785742e-01	6.10647881474204190511e+00	1.30128112395322803607e+00	6.52590559332787645275e+00	4.32075598944608452179e-01	0.00000000000000000000e+00	-5.02828362403007668036e+03
8.80434263028722519095e-01	2.55806151796267444709e+00	3.18652685607545838042e-01	2.89310768539128471133e+00	6.38074234995568811968e-01	0.00000000000000000000e+00	-4.99025485441932869435e+03
8.80434263028722519095e-01	2.55806151796267444709e+00	3.18652685607545838042e-01	2.89310768539128471133e+00	6.38074234995568811968e-01	0.00000000000000000000e+00	-4.99025485441932869435e+03
9.59383280183531916840e-01	-9.10889515832246088323e-01	5.47467291177330672713e-02	-3.11715709114258388013e-01	1.28336633866146043736e+00	0.00000000000000000000e+00	-4.96661676081391669868e+03
9.97791289817736681833e-01	-3.13129041470701974248e+00	1.49933176682875357599e+00	-2.82208676051936180329e+00	2.92268068399634595167e+00	0.00000000000000000000e+00	-4.83872484702506244503e+03
9.97791289817736681833e-01	-3.13129041470701974248e+00	1.49933176682875357599e+00	-2.82208676051936180329e+00	2.92268068399634595167e+00	0.00000000000000000000e+00	-4.83872484702506244503e+03
