# model w_normal_1 w_normal_2
9.338205352468009757e-02 3.466123269532097456e-02 5.779903738160421106e-02
9.648271459993137955e-02 3.328697586707481809e-02 6.236248020933642111e-02
9.997974299258381714e-02 3.195045525869293079e-02 6.716400128992597307e-02
1.037539167963740794e-01 3.064872564480688663e-02 7.213859966166372151e-02
1.078058162319355806e-01 2.936211109195941901e-02 7.741262299891736587e-02
1.121081582850749631e-01 2.810767831736834046e-02 8.285394721830778575e-02
1.165653303582885325e-01 2.685488057892281358e-02 8.848308735386030410e-02
1.210863020650214672e-01 2.570281769092183990e-02 9.435136006900493588e-02
1.260863461987506706e-01 2.455325691563458798e-02 1.005257854500809511e-01
1.312463732689936879e-01 2.342789422205342545e-02 1.067596590155387853e-01
1.365859175124608249e-01 2.236478437286361712e-02 1.133819330069659598e-01
1.421210991118180555e-01 2.127203616940211844e-02 1.198927858003836083e-01
1.479849914799760968e-01 2.025390230354525214e-02 1.266159108431188784e-01
1.540597105853905580e-01 1.930483134961226074e-02 1.336556276512442520e-01
1.600646641966148587e-01 1.828441564116208354e-02 1.408096058007154983e-01
1.662635007163901779e-01 1.735576349105296540e-02 1.479837573028496556e-01
1.726310800226693032e-01 1.650201822250247155e-02 1.554117373902189625e-01
1.789827696039110738e-01 1.564947739774059585e-02 1.626752147190599351e-01
1.853437182687743823e-01 1.478274585541572948e-02 1.699937680264974604e-01
1.918788877210506616e-01 1.398902221280288148e-02 1.770951476485318477e-01
1.982672194916925146e-01 1.322666951710205901e-02 1.842924799935516667e-01
2.046254960655012889e-01 1.248023702451342073e-02 1.914956171711489907e-01
2.109735638285836767e-01 1.175263449003937678e-02 1.985590027833458449e-01
2.170903223893981826e-01 1.107433871780953184e-02 2.053444981944841652e-01
2.231017516508629339e-01 1.040878752833611191e-02 2.121296171740837955e-01
2.289378321658912530e-01 9.774366186707307211e-03 2.186607277886786216e-01
2.347677736505573709e-01 9.205017578431621411e-03 2.250820260452959520e-01
2.402507677045545298e-01 8.666726266002063722e-03 2.312076771011665199e-01
2.452042469127223567e-01 8.140013851635968106e-03 2.368379901282526567e-01
2.499113552515369596e-01 7.671890896952518121e-03 2.421918387481603596e-01
2.545996479117729749e-01 7.203715145919126900e-03 2.472563710268743664e-01
2.587928592769116465e-01 6.754903213547896849e-03 2.517064098978564202e-01
2.625042671211770262e-01 6.320312490371611178e-03 2.557940259748812117e-01
2.660042097924652515e-01 5.907233867706983103e-03 2.597138811245658374e-01
2.688384435435467457e-01 5.508385420315704308e-03 2.632260157399847200e-01
2.714664584598889818e-01 5.133409309741736835e-03 2.659768516187605569e-01
2.735088568765309813e-01 4.787892942099581696e-03 2.684224927011892303e-01
2.750184615007267852e-01 4.456508309880733570e-03 2.703689594913779581e-01
2.761011051955249984e-01 4.139845046467798863e-03 2.716907325272727713e-01
2.767558192330111244e-01 3.843678612427525905e-03 2.724762317228491826e-01
2.769149524861965195e-01 3.568407024293639585e-03 2.728007863230063057e-01
2.766836476120058674e-01 3.305450014321713662e-03 2.727382658795367565e-01
2.757354029559653807e-01 3.057086467759603712e-03 2.721351381333328989e-01
2.742787497328215141e-01 2.839557032183394770e-03 2.709917736196790772e-01
2.723648670451913612e-01 2.624290457655482564e-03 2.693168976651809099e-01
2.700624211569320199e-01 2.422720677636476180e-03 2.671874834878088523e-01
2.674142052082326693e-01 2.234644504986660167e-03 2.643736202843049443e-01
2.639498500364904077e-01 2.060139530300474867e-03 2.612092759638225958e-01
2.601366324364836058e-01 1.896888816403018325e-03 2.576026036915458062e-01
2.558789943555883628e-01 1.750909521684166064e-03 2.536442639587725978e-01
2.511384936312969218e-01 1.611993046190565194e-03 2.490456854257262764e-01
2.461743773626186294e-01 1.484487366746249518e-03 2.443100603311177399e-01
2.408233235897040969e-01 1.367595862822296345e-03 2.391136609732550655e-01
2.351466267206680782e-01 1.256956832780941691e-03 2.333691346856656967e-01
2.290822159765379951e-01 1.152929585041593315e-03 2.275803682141885609e-01
2.228490889838475875e-01 1.058722967813495366e-03 2.214444584533480087e-01
2.163216447253885621e-01 9.724444916218223959e-04 2.150082573666323993e-01
2.096486521279962989e-01 8.924635194200649258e-04 2.083838585020426903e-01
2.028714749011424900e-01 8.183880727001949023e-04 2.016996850777195427e-01
1.957826858872964981e-01 7.498446134532243609e-04 1.947482815233707865e-01
1.887236390504395955e-01 6.864776892493674402e-04 1.876398477111187457e-01
1.815536175113588169e-01 6.256653153931332348e-04 1.805155615909196098e-01
1.741131274465007317e-01 5.716045038316375140e-04 1.732904028037899058e-01
1.666409158805628177e-01 5.217813833589046496e-04 1.659986687619538770e-01
1.592541368263083179e-01 4.759056855902079144e-04 1.585791195964952049e-01
1.519014941060305712e-01 4.337031559483602006e-04 1.512761919607791272e-01
1.447555378119763925e-01 3.949150158201138508e-04 1.441190880720405187e-01
1.375596063555776516e-01 3.588300184567144876e-04 1.370416796988395136e-01
1.305078135491923585e-01 3.249718878678915291e-04 1.299670164990436028e-01
1.235484077098614186e-01 2.940910212770059414e-04 1.231190356383602136e-01
1.167683439139282631e-01 2.666673862295301832e-04 1.164328422284056086e-01
1.102684758506378704e-01 2.414679342169872547e-04 1.098470983260481926e-01
1.038191436301747483e-01 2.180408850450491225e-04 1.034900966279863610e-01
9.756211790890337299e-02 1.967378632521461952e-04 9.727094016730686299e-02
9.153789238983750520e-02 1.780736099027613794e-04 9.135429653375026771e-02
8.572596752032585199e-02 1.610399112766484615e-04 8.548141845592498178e-02
8.007211078542883498e-02 1.449139399265240503e-04 7.983089833402744195e-02
7.465463121746301889e-02 1.302889473742626942e-04 7.446562688102335847e-02
6.950261206568623951e-02 1.170376939271486642e-04 6.935164233807093737e-02
6.461009124603851739e-02 1.050424169891679146e-04 6.441008342504918327e-02
5.997707373891220800e-02 9.431461765817496419e-05 5.972346310203457964e-02
5.545907877308400846e-02 8.471792577011377605e-05 5.529260664458876540e-02
5.119337064283336486e-02 7.603444817795958557e-05 5.103030998719720879e-02
4.719951474221834031e-02 6.818428044482136041e-05 4.702572809650822083e-02
4.343395752142458627e-02 6.109376695681234212e-05 4.328014604268383414e-02
